REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-12,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,509.3,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,609.4,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,555.8,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,529.1,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,555.1,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,519.4,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,473.6,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,516.8,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,553,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,407.6,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,415.8,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,45 to 64 years,Persons,249,thousands,3,v19650597,1.6.1.22,379,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,436.7,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,363.3,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,324.6,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,366.7,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,433.4,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,317.5,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,338.6,,,,1
2019-11,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,366.3,,,,1
2019-12,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,370.7,,,,1
2020-01,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,407.3,,,,1
2020-02,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,426.9,,,,1
2020-03,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,544.5,,,,1
2020-04,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,861.2,,,,1
2020-05,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,770,,,,1
2020-06,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,687.1,,,,1
2020-07,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,671.4,,,,1
2020-08,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,721.6,,,,1
2020-09,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,557.1,,,,1
2020-10,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,536.6,,,,1
2020-11,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,537.6,,,,1
2020-12,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,581.3,,,,1
2021-01,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,680.7,,,,1
2021-02,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,628.7,,,,1
2021-03,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,604.6,,,,1
2021-04,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,626.8,,,,1
2021-05,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,591.2,,,,1
2021-06,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,545.9,,,,1
2021-07,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,586.3,,,,1
2021-08,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,632.1,,,,1
2021-09,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,480.1,,,,1
2021-10,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,490.1,,,,1
2021-11,Canada,2016A000011124,Unemployment,Both sexes,45 years and over,Persons,249,thousands,3,v2091139,1.6.1.5,456.7,,,,1
2019-04,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,657.8,,,,1
2019-05,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,555.3,,,,1
2019-06,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,561.3,,,,1
2019-07,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,633.7,,,,1
2019-08,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,714.8,,,,1
2019-09,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,515.2,,,,1
2019-10,Canada,2016A000011124,Unemployment,Both sexes,25 to 54 years,Persons,249,thousands,3,v2091140,1.6.1.6,544.5,,,,1
